"","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","word","score"
"26",FALSE,0,NA,2017-11-14 20:28:36,FALSE,NA,"930532942681604102",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_OnlyChoice",38,TRUE,FALSE,NA,NA,"hate",-3
"27",FALSE,0,NA,2017-11-14 20:28:36,FALSE,NA,"930532942681604102",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_OnlyChoice",38,TRUE,FALSE,NA,NA,"lmao",4
"28",FALSE,0,NA,2017-11-14 20:28:14,FALSE,NA,"930532849870045186",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","DestroyingCIips",2967,TRUE,FALSE,NA,NA,"hate",-3
"29",FALSE,0,NA,2017-11-14 20:28:00,FALSE,NA,"930532791175049216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","uglydrea",0,FALSE,FALSE,NA,NA,"love",3
"30",FALSE,0,NA,2017-11-14 20:27:58,FALSE,NA,"930532783214039040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","onceuponakilos",3,TRUE,FALSE,NA,NA,"care",2
"31",FALSE,0,NA,2017-11-14 20:27:58,FALSE,NA,"930532783214039040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","onceuponakilos",3,TRUE,FALSE,NA,NA,"free",1
"32",FALSE,0,"LaurenPotgieter",2017-11-14 20:27:58,TRUE,"930517996858208258","930532782404702209","46977408","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Naghings",0,FALSE,FALSE,NA,NA,"cutting",-1
"33",FALSE,2,NA,2017-11-14 20:27:48,TRUE,NA,"930532740172255232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Midwest_Brat",1,FALSE,FALSE,NA,NA,"good",3
"34",FALSE,2,NA,2017-11-14 20:27:48,TRUE,NA,"930532740172255232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Midwest_Brat",1,FALSE,FALSE,NA,NA,"cleared",1
"35",FALSE,2,NA,2017-11-14 20:27:48,TRUE,NA,"930532740172255232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Midwest_Brat",1,FALSE,FALSE,NA,NA,"good",3
